Rank,Book,Author(s),Original language,First published,Approximate sales,Genre
98,The Naked Ape,Desmond Morris,English,1968,20 million,"Social Science, Anthropology, Psychology"
99,Where the Crawdads Sing,Delia Owens,English,2018,18 million,Coming-of-age Murder mystery
100,Matilda,Roald Dahl,English,1988,17 million,Children's Literature
101,The Book Thief,Markus Zusak,English,2005,16 million,Young Adult Fiction
102,The Horse Whisperer,Nicholas Evans,English,1995,16 million,
103,Goodnight Moon,Margaret Wise Brown,English,1947,16 million,Children's Literature
104,The Neverending Story (Die unendliche Geschichte),Michael Ende,German,1979,16 million,Children's Literature
105,All the Light We Cannot See,Anthony Doerr,English,2014,15.3 million,"Historical fiction, war novel"
106,Fifty Shades of Grey,E. L. James,English,2011,15.2 million in the U.S.,Erotica
107,The Outsiders,S. E. Hinton,English,1967,15 million,
108,Guess How Much I Love You,Sam McBratney,English,1994,15 million,
109,Shōgun,James Clavell,English,1975,15 million,
110,The Poky Little Puppy,Janette Sebring Lowrey,English,1942,15 million,
111,The Pillars of the Earth,Ken Follett,English,1989,15 million,Historical fiction
112,Perfume (Das Parfum),Patrick Süskind,German,1985,15 million,
